Hospital,Address,City,State,Zip,County/district,RUCA,CBSA,Medicare Payment,# of Beds,Closure Month,Closure Year,"Complete Closure (0);
Converted Closure (1)",updated 6/19/2026,state_full_name,Median_HH_Income,Median_HH_Income_MOE,Total_Population,Pop_White_NonHispanic,Pop_Black,Pop_AIAN,Pop_Hispanic
Tilden Community Hosp,"P O BOX 340, 308 WEST 2ND",Tilden,NE,68781,Antelope,10.2,Neither,CAH,20,June,2014,1,,Nebraska,63750,2107,6302,5889,56,12,237
Vidant Pungo Hospital,210 EAST WATER ST,Belhaven,NC,27810,Beaufort,10.2,Micro,CAH,25,June,2014,0,,North Carolina,57997,3520,44597,29528,10143,40,3482
Mid-Valley Hospital,1400 MAIN STREET,Peckville,PA,18452,Lackawanna,1.0,Metro,CAH,25,June,2014,1,,Pennsylvania,64691,1612,215834,174964,6284,113,19782
Nicholas County Hosp,2325 CONCRETE ROAD,Carlisle,KY,40311,Nicholas,10.2,Neither,CAH,16,May,2014,0,,Kentucky,53616,12147,7655,7324,76,0,78
Good Shepherd Med Ctr ,404 NORTH KAUFMAN STREET,Linden,TX,75563,Cass,10.1,Neither,CAH,25,April,2014,0,,Texas,54328,5230,28582,21369,4781,44,1467
Lake Whitney Med Ctr,200 N SAN JACINTO STREET,Whitney,TX,76692,Hill,10.1,Neither,MDH,49,March,2014,0,,Texas,63147,3135,36664,24992,2102,54,8284
Gibson General Hospital,200 HOSPITAL DR,Trenton,TN,38382,Gibson,7.0,Neither,MDH,41,January,2014,1,,Tennessee,59009,3111,50610,38008,7600,227,1607
Humboldt General Hosp,3525 CHERE CAROL RD,Humboldt,TN,38343,Gibson,7.1,Neither,PPS,42,January,2014,1,,Tennessee,59009,3111,50610,38008,7600,227,1607
Wise Regional Health System-Bridgeport,1901 DOCTORS HOSPITAL DRIVE,Bridgeport,TX,76426,Wise,7.0,Metro,PPS,36,December,2013,1,,Texas,89897,6108,72359,53380,1009,234,14878
Starr Regional Medical Ctr,886 HIGHWAY 411 NORTH,Etowah,TN,37331,McMinn,7.2,Micro,MDH,60,December,2013,1,,Tennessee,59674,4485,54135,46935,1694,32,2369
Florala Memorial Hospital,24273 FIFTH AVENUE,Florala,AL,36442,Covington,3.0,Neither,PPS,22,December,2013,1,,Alabama,50886,4230,37647,31061,4413,70,727
St. Andrews Hospital,35 MILES STREET,Boothbay Harbor,ME,4543,Lincoln,10.0,Neither,CAH,25,October,2013,1,,Maine,72026,4617,35840,33441,175,100,467
Blowing Rock Hospital,418 CHESTNUT DRIVE,Blowing Rock,NC,28605,Watauga,10.1,Micro,CAH,25,October,2013,1,,North Carolina,51367,3383,54607,48547,889,116,3303
Charlton Mem Hospital,2449 THIRD STREET,Folkston,GA,31537,Charlton,2.0,Neither,CAH,15,August,2013,0,,Georgia,48534,4650,12711,6911,3171,75,1967
Patient’s Choice Medical Center of Humphreys Co,500 CCC ROAD,Belzoni,MS,39038,Humphreys,7.2,Neither,CAH,25,August,2013,0,,Mississippi,32976,4565,7570,1538,5966,7,5
Shelby Regional Medical Center,602 HURST STREET,Center,TX,75935,Shelby,7.2,Neither,PPS,54,July,2013,0,,Texas,50436,4927,24108,14466,3751,185,4736
Corcoran District Hosp,1310 HANNA AVE,Corcoran,CA,93212,Kings,4.1,Metro,PPS,32,March,2013,1,,California,68750,2976,152830,43991,9143,1107,87860
Calhoun Mem Hospital,"55 J E JENNINGS AVE, PO DRAWER R",Arlington,GA,39813,Calhoun,2.0,Neither,CAH,25,March,2013,1,,Georgia,55714,9419,5528,1821,3293,0,267
Stewart-Webster Hosp,580 ALSTON STREET,Richland,GA,31825,Stewart,10.1,Neither,CAH,25,March,2013,0,,Georgia,35000,9838,4978,1223,2972,18,538
Elba General Hospital,987 DRAYTON STREET,Elba,AL,36323,Coffee,10.2,Micro,MDH,20,February,2013,1,,Alabama,64672,3538,54231,36827,8623,223,5096
Renaissance Hospital Terrell,1551 HWY 34 S,Terrell,TX,75160,Kaufman,4.1,Metro,PPS,106,February,2013,0,,Texas,88606,4191,160718,83554,26783,312,42372
Chilton Medical Center,1010 LAY DAM ROAD,Clanton,AL,35045,Chilton,7.1,Metro,PPS,27,November,2012,0,,Alabama,61873,2954,45500,35082,4165,17,4489
Riverview Regional Medical Center South,130 LEBANON HIGHWAY,Carthage,TN,37030,Smith,5.0,Metro,CAH,25,August,2012,1,,Tennessee,62799,5839,20196,18273,359,13,599
Muskogee Community Hospital,2900 NORTH MAIN STREET,Muskogee,OK,74402,Muskogee,4.0,Micro,PPS,45,July,2012,1,,Oklahoma,51999,2180,66471,35921,6485,11321,4814
Florence Community Healthcare,450 WEST ADAMSVILLE ROAD,Florence,AZ,85132,Pinal,4.1,Metro,CAH,25,June,2012,1,,Arizona,77588,1730,449219,251010,21823,16900,131771
Hart County Hospital,"138 W GIBSON STREET,  P O BOX 280",Hartwell,GA,30643,Hart,7.0,Neither,MDH,82,May,2012,0,,Georgia,57241,4548,26484,19582,4504,63,1050
Cheboygan Memorial Hospital,748 S MAIN,Cheboygan,MI,49721,Cheboygan,7.0,Neither,CAH,25,April,2012,1,,Michigan,61619,3070,25778,23130,225,584,417
Saint Catherine Medical Center Fountain Springs,101 BROAD STREET,Ashland,PA,17921,Schuylkill,7.2,Micro,PPS,53,April,2012,0,,Pennsylvania,66901,1609,143259,125559,3745,30,9744
Bamberg County Memorial Hospital,509 NORTH STREET,Bamberg,SC,29003,Bamberg,7.2,Neither,PPS,59,April,2012,0,,South Carolina,43206,6333,13164,4878,7847,25,223
Physicians Choice Hospital-Fremont,2390 ENTERPRISE DRIVE,Fremont,OH,43420,Sandusky,4.0,Micro,PPS,8,March,2012,1,,Ohio,62500,3027,58770,48458,1760,86,6247
Hualapai Mountain Medical Center,3801 SANTA ROSA DRIVE,Kingman,AZ,86401,Mohave,4.0,Metro,PPS,70,September,2011,1,,Arizona,55799,1721,217420,164363,2403,2873,36295
SW Alabama Med Ctr,33700 HIGHWAY 43,Thomasville,AL,36784,Clarke,7.1,Neither,PPS,27,August,2011,0,,Alabama,49167,4873,22802,11674,10340,9,261
Central Kansas Med Ctr,3515 BROADWAY ST,Great Bend,KS,67530,Barton,4.0,Micro,SCH,41,April,2011,1,,Kansas,56733,2762,25275,20072,165,40,4149
